province,year,track,n,fem_share,female_dummy,n_tie
四川,2023,文,1,1.0,1,0
四川,2023,理,1,1.0,1,0
四川,2024,文,1,1.0,1,0
天津,2004,理,1,1.0,1,0
天津,2005,文,1,1.0,1,0
天津,2005,理,1,0.0,0,0
天津,2006,文,1,0.0,0,0
天津,2007,文,1,1.0,1,0
天津,2008,文,1,1.0,1,0
天津,2010,文,1,1.0,1,0
天津,2010,理,2,1.0,1,0
天津,2011,文,1,1.0,1,0
天津,2011,理,2,0.0,0,0
天津,2012,文,1,0.0,0,0
天津,2012,理,1,0.0,0,0
天津,2013,文,2,1.0,1,0
天津,2013,理,1,0.0,0,0
天津,2014,文,2,1.0,1,0
天津,2014,理,1,0.0,0,0
天津,2015,理,1,0.0,0,0
天津,2016,文,1,1.0,1,0
天津,2017,理,1,1.0,1,0
天津,2018,文,1,1.0,1,0
天津,2018,理,1,0.0,0,0
天津,2019,理,1,1.0,1,0
宁夏,2004,文,1,1.0,1,0
宁夏,2004,理,1,0.0,0,0
宁夏,2005,文,1,1.0,1,0
宁夏,2005,理,1,0.0,0,0
宁夏,2006,文,2,0.5,1,0
宁夏,2006,理,1,1.0,1,0
宁夏,2007,文,1,1.0,1,0
宁夏,2007,理,1,0.0,0,0
宁夏,2008,文,1,0.0,0,0
宁夏,2008,理,1,0.0,0,0
宁夏,2009,文,1,1.0,1,0
宁夏,2009,理,2,0.0,0,0
宁夏,2010,文,1,1.0,1,0
宁夏,2010,理,1,0.0,0,0
宁夏,2011,文,1,0.0,0,0
宁夏,2011,理,1,0.0,0,0
宁夏,2012,文,1,0.0,0,0
宁夏,2012,理,1,0.0,0,0
宁夏,2013,文,1,1.0,1,0
宁夏,2013,理,1,0.0,0,0
宁夏,2014,理,1,0.0,0,0
宁夏,2015,文,1,1.0,1,0
宁夏,2016,文,1,1.0,1,0
宁夏,2016,理,1,1.0,1,0
宁夏,2018,文,2,0.5,1,0
宁夏,2018,理,2,0.5,1,0
宁夏,2019,文,1,1.0,1,0
宁夏,2019,理,1,0.0,0,0
宁夏,2020,文,2,0.5,1,0
宁夏,2020,理,1,0.0,0,0
宁夏,2021,文,2,1.0,1,0
宁夏,2021,理,1,1.0,1,0
宁夏,2022,文,1,1.0,1,0
宁夏,2023,文,1,0.0,0,0
宁夏,2023,理,2,0.0,0,0
安徽,2004,文,1,0.0,0,0
安徽,2004,理,2,0.0,0,0
安徽,2005,文,1,1.0,1,0
安徽,2006,文,1,1.0,1,0
安徽,2006,理,1,0.0,0,0
安徽,2007,文,1,1.0,1,0
安徽,2007,理,1,1.0,1,0
安徽,2008,文,1,0.0,0,0
安徽,2008,理,1,0.0,0,0
安徽,2009,文,1,0.0,0,0
安徽,2010,理,3,0.3333333333333333,1,0
安徽,2011,文,1,1.0,1,0
安徽,2011,理,3,0.0,0,0
安徽,2012,文,1,1.0,1,0
安徽,2013,文,1,1.0,1,0
安徽,2013,理,2,0.5,1,0
安徽,2014,文,2,0.5,1,0
安徽,2014,理,2,1.0,1,0
安徽,2015,文,1,1.0,1,0
安徽,2015,理,1,1.0,1,0
安徽,2016,理,2,0.5,1,0
安徽,2017,文,1,0.0,0,0
安徽,2018,文,1,1.0,1,0
安徽,2018,理,1,0.0,0,0
安徽,2019,理,1,0.0,0,0
安徽,2020,文,1,1.0,1,0
安徽,2020,理,2,0.5,1,0
安徽,2021,文,1,0.0,0,0
安徽,2021,理,1,0.0,0,0
安徽,2022,文,1,1.0,1,0
安徽,2023,文,1,0.0,0,0
安徽,2023,理,1,1.0,1,0
山东,2004,文,1,1.0,1,0
山东,2004,理,1,0.0,0,0
山东,2005,理,1,0.0,0,0
山东,2006,文,1,1.0,1,0
山东,2006,理,2,0.5,1,0
山东,2007,文,1,1.0,1,0
山东,2007,理,1,1.0,1,0
山东,2008,理,2,0.0,0,0
山东,2010,理,1,0.0,0,0
山东,2011,理,1,1.0,1,0
山东,2012,文,2,0.5,1,0
山东,2012,理,1,0.0,0,0
山东,2013,文,1,1.0,1,0
山东,2013,理,1,0.0,0,0
山东,2014,文,1,1.0,1,0
山东,2014,理,1,0.0,0,0
山东,2015,文,2,1.0,1,0
山东,2016,理,1,0.0,0,0
山东,2017,理,1,0.0,0,0
山东,2018,文,1,1.0,1,0
山东,2019,文,1,0.0,0,0
山西,2005,理,1,1.0,1,0
山西,2006,文,1,1.0,1,0
山西,2007,文,1,0.0,0,0
山西,2007,理,1,0.0,0,0
山西,2008,理,1,1.0,1,0
山西,2009,文,1,0.0,0,0
山西,2009,理,1,0.0,0,0
山西,2010,文,1,1.0,1,0
山西,2010,理,1,0.0,0,0
山西,2011,文,1,1.0,1,0
山西,2012,文,1,0.0,0,0
山西,2012,理,2,0.5,1,0
山西,2013,理,1,1.0,1,0
山西,2014,理,1,0.0,0,0
山西,2015,文,1,1.0,1,0
山西,2016,文,1,0.0,0,0
山西,2016,理,1,1.0,1,0
山西,2017,文,1,0.0,0,0
山西,2018,文,1,1.0,1,0
山西,2018,理,1,1.0,1,0
山西,2019,文,1,1.0,1,0
山西,2019,理,1,0.0,0,0
山西,2021,文,1,1.0,1,0
山西,2022,文,1,0.0,0,0
山西,2022,理,1,1.0,1,0
山西,2024,文,1,0.0,0,0
山西,2024,理,1,0.0,0,0
广东,2007,文,1,1.0,1,0
广东,2007,理,1,0.0,0,0
广东,2008,文,1,0.0,0,0
广东,2008,理,1,1.0,1,0
广东,2009,文,1,1.0,1,0
广东,2009,理,1,1.0,1,0
广东,2010,文,3,1.0,1,0
广东,2010,理,3,0.6666666666666666,1,0
广东,2011,文,1,1.0,1,0
广东,2011,理,2,0.0,0,0
广东,2012,文,1,1.0,1,0
广东,2012,理,2,0.5,1,0
广东,2013,文,1,1.0,1,0
广东,2013,理,1,0.0,0,0
广东,2014,文,1,1.0,1,0
广东,2014,理,1,1.0,1,0
广东,2015,文,1,1.0,1,0
广东,2015,理,1,0.0,0,0
广东,2016,文,2,1.0,1,0
广东,2016,理,2,0.0,0,0
广东,2017,文,1,1.0,1,0
广东,2017,理,3,0.0,0,0
广东,2018,文,1,1.0,1,0
广东,2019,文,1,0.0,0,0
广东,2019,理,1,0.0,0,0
广东,2020,文,1,0.0,0,0
广东,2020,理,1,0.0,0,0
广西,2005,文,2,0.5,1,0
广西,2005,理,1,1.0,1,0
广西,2006,理,1,1.0,1,0
广西,2007,理,1,0.0,0,0
广西,2008,理,1,0.0,0,0
广西,2009,文,1,1.0,1,0
广西,2009,理,1,1.0,1,0
广西,2010,文,1,0.0,0,0
广西,2012,文,1,1.0,1,0
广西,2013,理,1,0.0,0,0
广西,2015,文,1,1.0,1,0
广西,2015,理,1,0.0,0,0
广西,2016,文,1,1.0,1,0
广西,2017,文,1,1.0,1,0
广西,2018,文,1,1.0,1,0
广西,2019,文,1,1.0,1,0
广西,2019,理,1,0.0,0,0
广西,2020,文,1,1.0,1,0
广西,2022,文,1,1.0,1,0
广西,2022,理,1,0.0,0,0
广西,2023,文,1,1.0,1,0
新疆,2004,文,1,1.0,1,0
新疆,2004,理,1,0.0,0,0
新疆,2005,文,1,1.0,1,0
新疆,2005,理,2,0.5,1,0
新疆,2006,文,1,1.0,1,0
新疆,2006,理,1,1.0,1,0
新疆,2007,文,2,1.0,1,0
新疆,2007,理,1,0.0,0,0
新疆,2009,文,2,0.5,1,0
新疆,2010,文,1,0.0,0,0
新疆,2010,理,1,0.0,0,0
新疆,2011,文,1,1.0,1,0
新疆,2011,理,2,0.5,1,0
新疆,2012,文,2,1.0,1,0
新疆,2012,理,1,0.0,0,0
新疆,2013,文,1,1.0,1,0
新疆,2013,理,2,0.5,1,0
新疆,2014,理,1,0.0,0,0
新疆,2015,理,2,0.0,0,0
新疆,2016,文,1,1.0,1,0
新疆,2016,理,2,0.5,1,0
新疆,2017,文,1,1.0,1,0
新疆,2017,理,1,1.0,1,0
新疆,2018,理,1,0.0,0,0
新疆,2019,理,2,1.0,1,0
新疆,2021,文,1,0.0,0,0
新疆,2022,理,1,0.0,0,0
新疆,2023,文,2,0.0,0,0
新疆,2024,文,1,1.0,1,0
新疆,2024,理,2,0.5,1,0
江苏,2008,文,1,1.0,1,0
江苏,2008,理,1,1.0,1,0
江苏,2009,文,1,1.0,1,0
江苏,2009,理,1,0.0,0,0
江苏,2010,理,1,0.0,0,0
江苏,2011,文,1,1.0,1,0
江苏,2011,理,1,0.0,0,0
江苏,2012,文,3,1.0,1,0
江苏,2012,理,1,1.0,1,0
江苏,2013,文,1,1.0,1,0
江苏,2013,理,1,1.0,1,0
江苏,2014,理,1,0.0,0,0
江苏,2015,文,1,1.0,1,0
江苏,2015,理,1,1.0,1,0
江苏,2016,文,1,1.0,1,0
江苏,2016,理,1,1.0,1,0
江苏,2017,理,1,1.0,1,0
江苏,2018,文,1,0.0,0,0
江苏,2018,理,1,1.0,1,0
江苏,2019,文,1,1.0,1,0
江苏,2019,理,2,1.0,1,0
江苏,2020,文,1,1.0,1,0
江苏,2020,理,1,0.0,0,0
江西,2004,理,1,1.0,1,0
江西,2005,文,1,1.0,1,0
江西,2005,理,1,0.0,0,0
江西,2006,理,1,0.0,0,0
江西,2007,文,1,1.0,1,0
江西,2008,文,1,0.0,0,0
江西,2008,理,1,0.0,0,0
江西,2009,文,1,1.0,1,0
江西,2009,理,1,0.0,0,0
江西,2010,文,1,0.0,0,0
江西,2011,文,1,1.0,1,0
江西,2011,理,1,0.0,0,0
江西,2012,文,2,0.5,1,0
江西,2012,理,2,0.0,0,0
江西,2013,文,1,1.0,1,0
江西,2014,文,1,1.0,1,0
江西,2014,理,1,0.0,0,0
江西,2015,理,1,0.0,0,0
江西,2016,文,1,0.0,0,0
江西,2016,理,1,0.0,0,0
江西,2017,理,1,0.0,0,0
江西,2018,文,1,1.0,1,0
江西,2018,理,1,0.0,0,0
江西,2019,文,1,0.0,0,0
江西,2019,理,1,0.0,0,0
江西,2020,文,1,1.0,1,0
江西,2020,理,1,0.0,0,0
江西,2021,文,1,1.0,1,0
江西,2021,理,1,0.0,0,0
江西,2022,文,1,1.0,1,0
江西,2022,理,2,0.0,0,0
江西,2023,文,1,0.0,0,0
江西,2023,理,1,0.0,0,0
河北,2004,文,1,1.0,1,0
河北,2004,理,1,1.0,1,0
河北,2005,文,1,1.0,1,0
河北,2005,理,1,0.0,0,0
河北,2006,文,1,1.0,1,0
河北,2006,理,1,0.0,0,0
河北,2007,文,1,1.0,1,0
河北,2007,理,2,1.0,1,0
河北,2008,文,1,1.0,1,0
河北,2009,文,1,1.0,1,0
河北,2009,理,1,0.0,0,0
河北,2010,文,1,0.0,0,0
河北,2010,理,1,0.0,0,0
河北,2011,文,1,1.0,1,0
河北,2011,理,1,1.0,1,0
河北,2012,文,2,0.5,1,0
河北,2012,理,1,0.0,0,0
河北,2013,理,1,0.0,0,0
河北,2014,文,1,1.0,1,0
河北,2014,理,1,0.0,0,0
河北,2015,理,1,1.0,1,0
河北,2016,文,1,0.0,0,0
河北,2017,文,1,1.0,1,0
河北,2017,理,1,1.0,1,0
河北,2018,文,1,1.0,1,0
河北,2019,文,1,1.0,1,0
河北,2019,理,1,0.0,0,0
河北,2020,理,1,1.0,1,0
河南,2004,理,1,0.0,0,0
河南,2005,文,1,1.0,1,0
河南,2005,理,1,0.0,0,0
河南,2006,理,1,0.0,0,0
河南,2007,文,1,1.0,1,0
河南,2007,理,1,1.0,1,0
河南,2008,文,1,1.0,1,0
河南,2008,理,1,0.0,0,0
河南,2009,文,1,1.0,1,0
河南,2009,理,2,0.5,1,0
河南,2010,文,1,1.0,1,0
河南,2010,理,2,0.0,0,0
河南,2011,理,1,0.0,0,0
河南,2014,理,1,1.0,1,0
河南,2016,文,1,0.0,0,0
河南,2016,理,1,0.0,0,0
河南,2017,文,1,1.0,1,0
河南,2017,理,1,0.0,0,0
河南,2018,文,1,1.0,1,0
河南,2018,理,1,1.0,1,0
河南,2019,文,1,0.0,0,0
河南,2019,理,1,1.0,1,0
河南,2020,文,1,1.0,1,0
河南,2020,理,2,0.5,1,0
河南,2021,文,1,0.0,0,0
河南,2021,理,1,0.0,0,0
河南,2022,文,1,1.0,1,0
河南,2022,理,1,0.0,0,0
河南,2023,文,1,1.0,1,0
河南,2024,文,1,1.0,1,0
河南,2024,理,1,0.0,0,0
浙江,2004,文,1,1.0,1,0
浙江,2004,理,1,0.0,0,0
浙江,2005,文,1,1.0,1,0
浙江,2005,理,1,1.0,1,0
浙江,2006,文,1,0.0,0,0
浙江,2006,理,1,0.0,0,0
浙江,2007,文,1,1.0,1,0
浙江,2007,理,2,1.0,1,0
浙江,2008,文,1,1.0,1,0
浙江,2008,理,1,0.0,0,0
浙江,2009,文,2,0.5,1,0
浙江,2009,理,1,0.0,0,0
浙江,2010,文,1,1.0,1,0
浙江,2011,文,1,1.0,1,0
浙江,2012,文,1,1.0,1,0
浙江,2012,理,1,0.0,0,0
浙江,2013,理,1,0.0,0,0
浙江,2014,文,1,1.0,1,0
浙江,2014,理,2,0.5,1,0
浙江,2015,文,1,1.0,1,0
浙江,2015,理,1,0.0,0,0
浙江,2016,文,1,1.0,1,0
海南,2006,文,1,1.0,1,0
海南,2008,文,1,1.0,1,0
海南,2009,文,1,1.0,1,0
海南,2011,理,1,1.0,1,0
海南,2013,文,1,1.0,1,0
海南,2013,理,1,1.0,1,0
海南,2014,文,1,1.0,1,0
海南,2014,理,1,1.0,1,0
海南,2015,文,1,1.0,1,0
海南,2016,文,1,1.0,1,0
海南,2016,理,1,1.0,1,0
海南,2017,文,1,0.0,0,0
海南,2017,理,1,1.0,1,0
海南,2018,理,1,0.0,0,0
海南,2019,理,1,1.0,1,0
湖北,2004,文,1,0.0,0,0
湖北,2004,理,2,0.0,0,0
湖北,2005,文,1,1.0,1,0
湖北,2006,文,1,1.0,1,0
湖北,2006,理,1,0.0,0,0
湖北,2007,文,1,0.0,0,0
湖北,2008,理,1,0.0,0,0
湖北,2010,文,1,0.0,0,0
湖北,2011,文,1,1.0,1,0
湖北,2012,文,1,0.0,0,0
湖北,2012,理,1,0.0,0,0
湖北,2013,文,1,1.0,1,0
湖北,2013,理,1,0.0,0,0
湖北,2014,文,1,1.0,1,0
湖北,2015,文,1,1.0,1,0
湖北,2015,理,1,0.0,0,0
湖北,2016,文,2,0.5,1,0
湖北,2016,理,1,1.0,1,0
湖北,2017,文,1,1.0,1,0
湖北,2017,理,2,0.0,0,0
湖北,2018,文,2,0.0,0,0
湖北,2018,理,1,0.0,0,0
湖北,2019,文,1,1.0,1,0
湖北,2019,理,1,0.0,0,0
湖北,2020,文,2,1.0,1,0
湖北,2020,理,1,1.0,1,0
湖南,2004,文,1,0.0,0,0
湖南,2004,理,1,0.0,0,0
湖南,2005,文,2,0.5,1,0
湖南,2005,理,1,0.0,0,0
湖南,2006,文,2,1.0,1,0
湖南,2006,理,1,0.0,0,0
湖南,2007,文,3,1.0,1,0
湖南,2007,理,1,1.0,1,0
湖南,2008,文,1,1.0,1,0
湖南,2008,理,1,0.0,0,0
湖南,2009,理,1,1.0,1,0
湖南,2010,文,1,1.0,1,0
湖南,2010,理,1,1.0,1,0
湖南,2011,文,3,0.6666666666666666,1,0
湖南,2011,理,2,0.5,1,0
湖南,2012,文,2,1.0,1,0
湖南,2012,理,1,0.0,0,0
湖南,2013,理,1,0.0,0,0
湖南,2014,文,2,0.5,1,0
湖南,2014,理,1,0.0,0,0
湖南,2015,文,1,1.0,1,0
湖南,2015,理,1,0.0,0,0
湖南,2016,文,2,1.0,1,0
湖南,2016,理,2,0.0,0,0
湖南,2017,文,1,1.0,1,0
湖南,2017,理,1,0.0,0,0
湖南,2018,文,1,1.0,1,0
湖南,2018,理,2,0.0,0,0
湖南,2019,理,1,1.0,1,0
湖南,2020,文,1,0.0,0,0
湖南,2020,理,2,0.0,0,0
甘肃,2004,理,1,1.0,1,0
